05/11/2020,2330,3915,6245
06/11/2020,2336,6949,9285
06/11/2020,2502,6767,9270
07/11/2020,563,5038,5602
08/11/2020,840,2172,3013
09/11/2020,1422,5193,6615
10/11/2020,1953,6550,8503
11/11/2020,2250,6750,9000
