2020-06-11 11:25, 1224, 1151, 2375
2020-06-11 11:30, 1242, 1150, 2392
2020-06-11 11:35, 1245, 1151, 2396
2020-06-11 11:40, 1251, 1150, 2401
2020-06-11 11:45, 1249, 1162, 2411
2020-06-11 11:50, 1252, 1179, 2431
2020-06-11 11:55, 1249, 1191, 2440
2020-06-11 12:00, 1251, 1190, 2441
2020-06-11 12:05, 1253, 1204, 2457
2020-06-11 12:10, 1249, 1230, 2479
2020-06-11 12:15, 1248, 1241, 2489
2020-06-11 12:20, 1250, 1244, 2494
2020-06-11 12:25, 1247, 1231, 2478
2020-06-11 12:30, 1248, 1234, 2482
2020-06-11 12:35, 1249, 1232, 2481
2020-06-11 12:40, 1254, 1218, 2472
2020-06-11 12:45, 1250, 1232, 2482
2020-06-11 12:50, 1249, 1237, 2486
2020-06-11 12:55, 1249, 1233, 2482
2020-06-11 13:00, 1250, 1239, 2489
2020-06-11 13:05, 1247, 1232, 2479
2020-06-11 13:10, 1246, 1232, 2478
2020-06-11 13:15, 1253, 1221, 2474
2020-06-11 13:20, 1250, 1225, 2475
2020-06-11 13:25, 1250, 1217, 2467
2020-06-11 13:30, 1249, 1221, 2470
2020-06-11 13:35, 1254, 1220, 2474
2020-06-11 13:40, 1254, 1229, 2483
2020-06-11 13:45, 1253, 1231, 2484
2020-06-11 13:50, 1252, 1247, 2499
2020-06-11 13:55, 1258, 1251, 2509
2020-06-11 14:00, 1265, 1251, 2516
2020-06-11 14:05, 1258, 1248, 2506
2020-06-11 14:10, 1250, 1243, 2493
2020-06-11 14:15, 1254, 1246, 2500
2020-06-11 14:20, 1251, 1249, 2500
2020-06-11 14:25, 1253, 1251, 2504
2020-06-11 14:30, 1273, 1252, 2525
2020-06-11 14:35, 1274, 1253, 2527
2020-06-11 14:40, 1278, 1250, 2528
2020-06-11 14:45, 1279, 1246, 2525
2020-06-11 14:50, 1275, 1254, 2529
