22/02/2018,57994,8247,55994,3658
23/02/2018,64665,12855,62544,4082
24/02/2018,65215,9009,61341,5752
25/02/2018,68764,10623,63721,6538
26/02/2018,44895,9022,42929,3177
27/02/2018,54296,10218,53516,2388
28/02/2018,56927,9522,55993,2812
01/03/2018,56502,9004,55332,3181
02/03/2018,60788,12169,58388,4299
03/03/2018,70344,11854,66248,6144
04/03/2018,56521,9427,52695,5423
05/03/2018,48634,8794,47203,3135
06/03/2018,59347,9975,57233,4044
07/03/2018,60522,8390,58246,4194
08/03/2018,62530,8943,59421,5124
09/03/2018,59942,8102,57051,4424
10/03/2018,68719,7945,63703,7177
11/03/2018,59860,8759,55113,6565
12/03/2018,50089,8897,49333,2353
13/03/2018,54674,8518,53288,2842
14/03/2018,65788,11165,63987,4114
15/03/2018,62831,12390,60722,4481
16/03/2018,61294,9229,59244,4524
17/03/2018,62342,7852,59191,5638
18/03/2018,69770,9910,63610,8011
19/03/2018,50066,7494,48741,3168
20/03/2018,62653,8472,61132,3939
21/03/2018,69178,8734,67054,4552
22/03/2018,65660,9085,64158,4970
23/03/2018,68054,9906,65697,4752
24/03/2018,94923,10721,88480,9028
25/03/2018,36219,6990,34252,3842
26/03/2018,39308,9478,37612,3134
27/03/2018,39962,10900,38847,2945
28/03/2018,38096,7785,36789,3733
29/03/2018,33827,7302,32874,2798
30/03/2018,30951,6698,28875,3583
31/03/2018,31420,7847,30082,2710
01/04/2018,29380,6597,27960,2856
02/04/2018,26833,6253,26046,1818
03/04/2018,30748,6775,30448,1466
04/04/2018,30548,5749,29303,2375
05/04/2018,37313,7089,36796,1890
06/04/2018,42196,8950,41096,2524
07/04/2018,37667,7844,35742,3306
08/04/2018,34475,7064,31940,3701
09/04/2018,31718,5985,31206,1807
10/04/2018,36893,7908,36074,2321
11/04/2018,39924,7458,38940,2585
12/04/2018,41208,8504,39379,3390
13/04/2018,42292,7806,40345,3594
14/04/2018,44752,8647,42365,4017
15/04/2018,41125,9998,38518,4228
16/04/2018,38259,8824,37573,2278
17/04/2018,46365,7815,45591,2600
18/04/2018,48295,9932,47006,3250
19/04/2018,52875,10548,51632,3423
20/04/2018,57891,11879,56028,4220
21/04/2018,54546,8534,52028,4291
22/04/2018,55432,10464,53650,3688
23/04/2018,59625,12558,58730,3184
24/04/2018,59229,10884,57953,3503
25/04/2018,56434,10303,55474,3432
26/04/2018,52714,8486,50835,4010
27/04/2018,52443,8187,50463,3900
28/04/2018,61488,8322,58947,5103
29/04/2018,59480,7262,56846,4487
30/04/2018,52989,7626,51597,3431
01/05/2018,54090,7039,52565,3640
02/05/2018,56604,6825,55412,3344
03/05/2018,58559,8751,57649,3628
04/05/2018,58837,8794,57208,4367
05/05/2018,61497,7679,57672,5974
06/05/2018,57508,7182,55180,4291
07/05/2018,54259,6411,52296,4108
08/05/2018,51100,6936,50057,3120
09/05/2018,54868,7763,52315,4643
10/05/2018,56435,8986,54960,3826
11/05/2018,55673,9690,54365,4074
12/05/2018,58845,8586,57204,4425
13/05/2018,57214,9619,54623,4466
14/05/2018,58247,9857,57704,3044
15/05/2018,54694,8065,54095,2995
16/05/2018,52554,8242,50217,4215
17/05/2018,56027,7080,55098,3182
18/05/2018,56253,9972,55096,3381
19/05/2018,61028,9556,58853,5407
20/05/2018,56094,8275,52970,5432
21/05/2018,49974,8243,48453,3525
22/05/2018,55374,8981,53335,4068
23/05/2018,53085,8522,51885,3373
24/05/2018,54839,9643,54168,3791
25/05/2018,55286,10661,53474,3972
26/05/2018,57169,8703,53752,6272
27/05/2018,62341,9751,59273,5246
28/05/2018,50107,11505,48578,3923
29/05/2018,45729,9588,45008,2464
30/05/2018,49695,11228,49177,3224
31/05/2018,58048,10632,57513,3421
01/06/2018,50296,8942,49429,4172
02/06/2018,55571,10806,54239,4967
03/06/2018,52734,9686,50742,4278
04/06/2018,46318,12157,46247,2733
05/06/2018,43504,8013,43302,2703
06/06/2018,45786,9484,45263,3168
07/06/2018,46288,8219,45260,3715
08/06/2018,49398,9958,48197,3509
09/06/2018,49766,9209,48419,4438
10/06/2018,38866,7521,36803,3573
11/06/2018,35224,8027,34680,2244
12/06/2018,39943,10160,39726,2512
13/06/2018,39660,8473,38961,2815
14/06/2018,41015,9048,40479,2461
15/06/2018,41201,8635,39979,3259
16/06/2018,43884,9773,42205,4075
17/06/2018,38383,8045,36402,3647
18/06/2018,31786,7466,30346,3073
19/06/2018,34018,6287,33324,2577
20/06/2018,38052,6780,37195,2821
21/06/2018,40648,6786,39407,3132
22/06/2018,42688,12017,41116,4039
23/06/2018,46945,9589,43125,5716
24/06/2018,24006,7176,21891,3464
25/06/2018,25497,9971,23900,3793
26/06/2018,30327,9720,27856,4360
27/06/2018,26699,6802,24540,4267
28/06/2018,27177,7828,23780,4998
29/06/2018,29475,8981,26420,5029
30/06/2018,30493,8881,25571,6607
01/07/2018,24853,7177,21126,5130
02/07/2018,25466,6924,22667,4454
03/07/2018,29579,8725,26397,4999
04/07/2018,31451,9003,26577,7050
05/07/2018,30451,8211,26584,5751
06/07/2018,30539,8087,25995,6436
07/07/2018,31628,8171,26173,7555
08/07/2018,29876,8849,25655,5985
09/07/2018,28109,8681,24503,5290
10/07/2018,29517,8003,26161,5155
11/07/2018,30143,7671,26184,5943
12/07/2018,30566,7137,27243,5048
13/07/2018,34701,10165,31314,5853
14/07/2018,30118,7933,26154,5655
15/07/2018,28173,8502,23528,6527
16/07/2018,29850,8935,26800,5227
17/07/2018,29005,7186,25695,5315
18/07/2018,28424,7497,26074,4332
19/07/2018,32370,8411,27989,6925
20/07/2018,33825,8901,28442,7471
21/07/2018,36118,10887,29380,8689
22/07/2018,27752,8729,24108,5199
23/07/2018,27615,8105,25392,3849
24/07/2018,32470,9377,29283,5168
25/07/2018,33514,10430,30119,5295
26/07/2018,32209,8860,29293,5399
27/07/2018,35515,9411,31701,5358
28/07/2018,32321,8975,28022,5733
29/07/2018,26094,8242,21540,5686
30/07/2018,27731,9545,25599,3659
31/07/2018,29096,7848,26613,4094
01/08/2018,30249,8467,28259,3532
02/08/2018,29648,7766,27621,3764
03/08/2018,28337,7032,26864,2936
04/08/2018,30441,7400,26555,5386
05/08/2018,24784,5679,22536,3307
06/08/2018,26400,7411,25322,2588
07/08/2018,29260,6937,27528,3224
08/08/2018,31085,9210,26328,6542
09/08/2018,31201,7288,28609,4144
10/08/2018,28211,6865,25513,3786
11/08/2018,29100,6310,25738,4348
12/08/2018,22957,5636,20507,3107
13/08/2018,23180,5761,21277,2755
14/08/2018,27622,6755,25889,2757
15/08/2018,27223,6099,25450,2839
16/08/2018,29626,5781,27260,3332
17/08/2018,28265,6801,25166,4207
18/08/2018,28683,7206,24246,5315
19/08/2018,23316,6271,19570,4537
20/08/2018,24189,5932,21832,3219
21/08/2018,26267,5299,24909,2284
22/08/2018,26728,5388,24596,3056
23/08/2018,27196,5299,25322,2859
24/08/2018,27567,6185,25389,2967
25/08/2018,26834,5865,24551,3196
26/08/2018,21304,5417,19435,2417
27/08/2018,23546,6142,21582,2711
28/08/2018,23510,5332,22354,2176
29/08/2018,27680,5233,26131,2505
30/08/2018,29456,5835,27834,2770
31/08/2018,31718,6699,29310,3395
01/09/2018,28807,5997,26448,3433
02/09/2018,25458,7237,22619,3663
03/09/2018,25762,7346,23904,2998
04/09/2018,27281,6821,25670,2443
05/09/2018,30678,9785,27423,4130
06/09/2018,28238,7812,26440,2653
07/09/2018,29520,8798,26766,3589
08/09/2018,27526,9028,23818,4425
09/09/2018,24338,8843,21324,3707
10/09/2018,25353,9520,23181,2862
11/09/2018,25977,7632,24280,2453
12/09/2018,24313,5446,22564,2394
13/09/2018,20947,5422,19577,2023
14/09/2018,21615,6566,19725,2649
15/09/2018,18128,4912,16388,2336
16/09/2018,17521,4645,15025,2997
17/09/2018,17505,5659,15438,2791
18/09/2018,21602,5383,20082,2236
19/09/2018,22280,5783,20628,2359
20/09/2018,24061,5783,20628,2359
21/09/2018,27322,6145,24812,3375
22/09/2018,27480,5430,24393,3768
23/09/2018,40146,8448,35269,5808
24/09/2018,30659,5812,28245,3359
25/09/2018,37081,6066,34279,3845
26/09/2018,39921,5721,37143,3806
27/09/2018,47377,7469,44300,4687
28/09/2018,42593,6236,40120,4014
29/09/2018,51126,6970,46297,6403
30/09/2018,54327,7484,48838,6522
01/10/2018,28834,4094,27312,2265
02/10/2018,38076,5035,36175,2683
03/10/2018,42699,7040,40729,2993
04/10/2018,45182,7296,42827,3544
05/10/2018,46003,7242,43278,4121
06/10/2018,64098,9186,56708,8547
07/10/2018,49914,7845,44673,6307
08/10/2018,34573,6133,33082,2441
09/10/2018,39072,6015,36985,3121
10/10/2018,47095,7561,45201,3450
11/10/2018,51835,7635,49498,3430
12/10/2018,52445,8432,50395,3976
13/10/2018,63601,7830,58908,6413
14/10/2018,65634,7459,59144,7788
15/10/2018,41193,7493,39925,2385
16/10/2018,49527,9414,48395,2715
17/10/2018,53171,10064,51190,3720
18/10/2018,56477,9818,54382,3608
19/10/2018,53543,10355,52416,3508
20/10/2018,64247,8583,59778,6341
21/10/2018,60503,8213,55505,6239
22/10/2018,41150,6504,39958,2522
